"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"서구","계","30-34세",8762,9590,10712,10977,10992,10473,9852,9122,8631,8174,7654,7124,6851,6346,5885,5718,5678,5533,5478,5606,5607
"서구","계","35-39세",7940,7764,8538,9023,9299,9660,9921,9795,9584,9378,8907,8514,8095,7839,7529,7114,6679,6439,5946,5546,5420
"서구","계","40-44세",9462,9560,10058,9832,9521,9162,8701,8492,8503,8448,8606,8772,8732,8652,8573,8250,7989,7670,7487,7224,6845
"서구","계","45-49세",11018,10258,10049,10079,10302,10409,10565,10353,9800,9263,8758,8256,8076,8094,8052,8219,8397,8403,8385,8357,8106
"서구","계","50-54세",14485,13867,13473,12991,12327,11809,11038,10456,10316,10409,10442,10557,10343,9804,9271,8759,8258,8082,8096,8060,8232
"서구","계","55-59세",16282,15869,16075,15784,15443,15126,14663,14052,13442,12694,12109,11337,10808,10695,10811,10880,11004,10779,10236,9678,9139
"서구","계","60-64세",17466,17944,17856,17420,16804,16342,15899,15912,15577,15248,14977,14594,14084,13537,12838,12273,11546,11067,10978,11118,11215
"서구","계","65-69세",13920,14138,15082,15773,16561,16891,17357,17019,16499,15867,15446,15088,15212,15016,14819,14656,14366,13932,13435,12782,12244
"서구","계","70-74세",10567,10995,11161,11897,12838,13076,13348,14092,14672,15382,15673,16120,15827,15394,14854,14530,14269,14460,14358,14247,14162
"서구","계","75-79세",7094,7256,7726,8220,8755,9364,9778,9862,10527,11338,11564,11852,12572,13153,13859,14156,14582,14328,13976,13533,13291
"서구","계","80-84세",5432,5825,5963,5997,5668,5712,5854,6218,6616,7020,7539,7894,8000,8605,9282,9520,9822,10468,11017,11675,11957
"서구","계","85-89세",2524,2684,2992,3121,3269,3609,3889,3948,3927,3669,3756,3910,4204,4483,4731,5127,5400,5501,5976,6455,6671
"서구","계","90-94세",786,826,909,1045,1167,1244,1343,1491,1548,1628,1805,1939,1971,1945,1805,1890,2006,2184,2333,2444,2684
"서구","계","95세이상",158,191,215,229,255,291,318,352,400,443,475,513,571,601,639,705,760,783,774,730,790
"남구","계","계",141660,142242,138021,134189,131377,129441,128230,127605,126914,126185,125430,124681,123927,123136,122325,121470,120573,119619,118610,117538,116409
"남구","계","0 - 4세",2428,2482,2256,2004,1880,1822,1812,1867,1958,2049,2127,2189,2238,2274,2299,2313,2315,2303,2275,2237,2192
"남구","계","5 - 9세",3447,3326,2983,2762,2450,2230,2087,2005,1861,1807,1769,1756,1793,1862,1928,1988,2037,2074,2099,2118,2125
"남구","계","10 - 14세",3735,3734,3601,3505,3416,3247,3043,2840,2705,2436,2254,2108,1999,1843,1787,1735,1715,1743,1802,1860,1918
"남구","계","15 - 19세",5264,4996,4445,4123,4037,3993,3948,3946,3974,3953,3805,3619,3412,3244,2922,2700,2510,2361,2180,2105,2029
"남구","계","20-24세",9703,9641,8906,7971,7150,6665,6428,6233,6170,6230,6274,6247,6234,6253,6175,5964,5717,5425,5123,4656,4328
"남구","계","25-29세",11021,10907,10332,9972,9607,9194,8804,8449,7844,7296,7044,6972,6834,6788,6875,6929,6878,6847,6845,6725,6482
"남구","계","30-34세",8544,9146,9106,8947,8972,8833,8686,8543,8467,8260,7889,7474,7131,6613,6183,6030,6003,5884,5855,5957,5998
"남구","계","35-39세",7773,7525,6993,6872,6779,7016,7372,7673,7785,7952,7843,7701,7499,7384,7163,6806,6437,6152,5701,5351,5234
"남구","계","40-44세",8733,8877,8527,7896,7325,6841,6448,6325,6472,6516,6794,7082,7253,7295,7407,7263,7123,6916,6805,6590,6259
"남구","계","45-49세",9533,9047,8505,8138,8151,8163,8165,8109,7743,7346,6951,6585,6450,6542,6543,6771,6996,7129,7159,7259,7108
"남구","계","50-54세",11800,11791,11260,10626,9871,9260,8673,8371,8254,8443,8553,8610,8523,8117,7687,7264,6883,6736,6807,6792,7005
"남구","계","55-59세",11446,11289,11433,11409,11432,11416,11255,10883,10466,9875,9384,8875,8588,8484,8678,8778,8838,8733,8297,7851,7417
"남구","계","60-64세",12902,13042,12423,11837,11165,10845,10654,10929,11053,11177,11220,11107,10774,10394,9850,9404,8928,8652,8570,8773,8868
"남구","계","65-69세",11064,11311,11664,11703,12044,12073,12208,11808,11424,10908,10707,10579,10866,11001,11123,11173,11079,10781,10436,9920,9499
"남구","계","70-74세",8666,8906,8811,9276,9739,9906,10096,10563,10784,11269,11400,11607,11285,10976,10535,10390,10297,10587,10732,10861,10919
"남구","계","75-79세",6432,6432,6738,7032,7393,7559,7750,7756,8280,8776,9016,9258,9745,10028,10551,10710,10948,10688,10443,10053,9954
"남구","계","80-84세",5248,5629,5588,5417,5013,5090,5143,5476,5775,6104,6314,6539,6594,7094,7543,7807,8059,8530,8856,9379,9550
"남구","계","85-89세",2805,2943,3117,3206,3320,3528,3783,3787,3722,3473,3598,3696,3970,4197,4432,4633,4842,4919,5341,5702,5950
"남구","계","90-94세",900,984,1066,1212,1332,1419,1500,1623,1703,1792,1921,2074,2080,2045,1899,2008,2099,2280,2412,2531,2685
