시점,sido,행정구역(시군구)별,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2023,경기도,성남시,915389.5,25525,35756.5,41598,42237.5,51311.5,67211,68897.5,64407.5,74815.5,72728,82363.5,70622.5,70073,53959,34669,26009,33205.5,18850.5,14355,9809.5,3613,802,130.5
2023,경기도,수정구,231840.5,6383,7646.5,7942.5,8459.5,13079,18101.5,18269.5,16515,18189.5,16683,19909.5,18881.5,19797.5,15718.5,10368,7496.5,8400,5112.5,3287.5,2340,752,167,28.5
2023,경기도,중원구,209486.5,5635,6585,7151,7901,11253,16308,16847,14988.5,15960.5,14888,17914,17521.5,18671.5,14309.5,9302,6611,7640,4666,2974,2122.5,662,164.5,25
2023,경기도,분당구,474062.5,13507,21525,26504.5,25877,26979.5,32801.5,33781,32904,40665.5,41157,44540,34219.5,31604,23931,14999,11901.5,17165.5,9072,8093.5,5347,2199,470.5,77
2023,경기도,의정부시,461303,12940.5,17909.5,19934.5,20704.5,27843,32844,30874,29216.5,35967,35134,42768.5,38347,37335,28000.5,18010,14596,18878.5,11106,7772.5,5566.5,1758.5,388.5,59
2023,경기도,안양시,543899,15777,20409,23673.5,25448.5,31511.5,38107,40591,37820.5,41620,41583,49231,45131,46191.5,33539,20235,14276,18754.5,10500.5,8254,5680.5,2089.5,431.5,52.5
2023,경기도,만안구,231404.5,6292,7358.5,7869.5,9118,13315,16958.5,17278,15411,16592.5,15981.5,20250.5,20435.5,21613,16114,10194.5,7355.5,9267,5336,3931,2759,951.5,193,27.5
2023,경기도,동안구,312494.5,9485,13050.5,15804,16330.5,18196.5,21148.5,23313,22409.5,25027.5,25601.5,28980.5,24695.5,24578.5,17425,10040.5,6920.5,9487.5,5164.5,4323,2921.5,1138,238.5,25
2023,경기도,부천시,781052,19700.5,27387.5,31662,33683.5,44017.5,57128.5,55802,51579,60668,58546.5,70506.5,68689,72251.5,52060.5,30505.5,20568,26296,14976,11320,7789,2811,618.5,101.5
2023,경기도,광명시,282728,7892.5,11571.5,13943,14698.5,16176,17738,18714.5,18711,23452,23693,25868,22328,22187.5,17598,10850.5,7612,9694,5653,4041,2807,983,211,40
2023,경기도,평택시,581949.5,21137,27644,29140.5,26594.5,32600,44611,46768.5,43710,51996,47782,51809.5,43672.5,39273.5,26673,17042.5,12985,18510,10536.5,7973.5,5719.5,1801,399.5,53.5
2023,경기도,동두천시,89416,1834.5,3071,3960,4014,4786.5,5192,4641.5,4451.5,6006,6554.5,8264,7710.5,8124,6495.5,4488.5,4003,5819,3470.5,2348.5,1683.5,524,126,15
2023,경기도,안산시,631681.5,15333.5,21488.5,26578.5,30755,44376.5,52054.5,45386,37374.5,45508,50315,63904,60780.5,53862.5,33043.5,18646,13297.5,18977.5,10501,8476.5,5912.5,2037.5,466,60.5
2023,경기도,상록구,337632.5,7450,11420.5,14312.5,16627,24764.5,27926.5,23279,18958.5,23817.5,26883,34745,32811,28584,17546.5,9965.5,7599,10942.5,6130.5,4812,3352,1162,262.5,35.5
2023,경기도,단원구,294049,7883.5,10068,12266,14128,19612,24128,22107,18416,21690.5,23432,29159,27969.5,25278.5,15497,8680.5,5698.5,8035,4370.5,3664.5,2560.5,875.5,203.5,25
2023,경기도,고양시,1069377.5,29336.5,42731,49278.5,50522,62768.5,74083,73336.5,69336,83786.5,85697,104609,91769,85125,58860.5,34855.5,28933,44350,24464.5,19885.5,13923,4809,1009.5,144
2023,경기도,덕양구,490829.5,15607,20574,21285.5,20124,26337,33077.5,36319.5,35458,40442.5,37831.5,44282,40337.5,38882,28212.5,17473,14288.5,20297.5,11577,8720.5,6163.5,2065,436.5,55.5
2023,경기도,일산동구,291653,6816,10977.5,13400,14352.5,17995.5,21865.5,19609.5,17557,22086.5,23977,30133,25777,23650,15641,8845,7220.5,11749.5,6180,5569.5,3822,1396.5,306,45
2023,경기도,일산서구,286895,6913.5,11179.5,14593,16045.5,18436,19140,17407.5,16321,21257.5,23888.5,30194,25654.5,22593,15007,8537.5,7424,12303,6707.5,5595.5,3937.5,1347.5,267,43.5
2023,경기도,과천시,79056.5,3303,4344.5,4048,3629,4484,5111,5683.5,6076,6513.5,5599,6731,6257,5924.5,4259.5,2508,1843,2742,1436,1306,870.5,337,91,7.5
2023,경기도,구리시,186972,4851,7416.5,8367,8514.5,10689.5,13003.5,12188.5,11813,15197,14741,17777.5,16401,16043,11270.5,6970,5260,6468.5,3879.5,2589,1852,597,122,18
2023,경기도,남양주시,731185.5,21812,35018,40882,38419,40329,42289.5,40927,45443,65352.5,63995.5,68028,57015.5,53707,42195.5,28033.5,21249,26489.5,15740,10749.5,7504,2566,572.5,107
2023,경기도,오산시,228893,7194,11779.5,13405,11996,13037,16268.5,17310,18005.5,23399.5,20866,19789.5,15694.5,14120.5,9765,6084.5,4551.5,5626.5,3377,2249.5,1609,504.5,126,10
