"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"동구","계","35-39세",5080,4950,4967,5224,5390,5658,5920,6021,6031,6038,5915,5708,5540,5417,5241,4956,4676,4465,4113,3878,3786
"동구","계","40-44세",5642,5668,5697,5489,5377,5104,4963,4886,5003,5049,5234,5418,5485,5493,5505,5396,5228,5090,4985,4834,4573
"동구","계","45-49세",5687,5530,5371,5481,5588,5844,5878,5911,5640,5458,5127,4946,4835,4912,4924,5088,5241,5300,5315,5334,5235
"동구","계","50-54세",7048,6959,6805,6713,6469,6165,6018,5806,5870,5967,6205,6220,6219,5905,5678,5312,5110,4977,5036,5035,5189
"동구","계","55-59세",6713,6537,6796,6986,7146,7295,7260,7118,6955,6655,6328,6160,5938,6006,6117,6348,6349,6325,5981,5728,5350
"동구","계","60-64세",8263,8078,7802,7414,7042,6905,6798,7011,7146,7260,7365,7323,7193,7023,6719,6397,6226,6002,6082,6202,6423
"동구","계","65-69세",7364,7529,7823,7933,8194,8127,8074,7837,7448,7085,6942,6831,7041,7173,7280,7384,7349,7233,7060,6758,6446
"동구","계","70-74세",6091,6199,6124,6458,6759,6981,7205,7536,7679,7966,7938,7914,7697,7338,6995,6863,6764,6971,7106,7212,7319
"동구","계","75-79세",4566,4579,4843,5010,5321,5483,5637,5618,5973,6287,6536,6780,7116,7275,7577,7573,7571,7379,7057,6756,6636
"동구","계","80-84세",3490,3736,3724,3798,3578,3624,3704,3973,4137,4398,4557,4710,4729,5075,5373,5615,5855,6158,6331,6630,6655
"동구","계","85-89세",1614,1719,1877,1961,2083,2266,2445,2439,2504,2358,2429,2528,2732,2862,3038,3167,3298,3332,3625,3861,4063
"동구","계","90-94세",520,521,558,632,742,780,837,924,969,1047,1145,1237,1234,1268,1195,1258,1333,1450,1527,1611,1691
"동구","계","95세이상",118,133,147,153,155,181,191,209,235,270,289,312,343,366,401,436,473,476,491,468,506
"영도구","계","계",110401,108668,106999,105271,103525,101807,100129,98484,96972,95557,94237,92985,91785,90621,89459,88319,87181,86048,84904,83744,82583
"영도구","계","0 - 4세",1800,1640,1576,1451,1381,1305,1231,1208,1234,1265,1293,1314,1331,1342,1351,1354,1351,1339,1318,1293,1261
"영도구","계","5 - 9세",2768,2601,2429,2261,2022,1855,1704,1594,1455,1381,1308,1247,1240,1272,1303,1335,1357,1376,1385,1394,1399
"영도구","계","10 - 14세",3254,3183,3143,3060,2903,2754,2601,2419,2236,1989,1825,1672,1560,1430,1363,1289,1236,1233,1267,1296,1328
"영도구","계","15 - 19세",4462,3786,3315,3271,3280,3237,3187,3143,3076,2943,2811,2663,2490,2305,2056,1888,1732,1621,1493,1427,1351
"영도구","계","20-24세",7613,7693,7164,6050,5179,4575,4040,3784,3808,3827,3815,3778,3742,3691,3585,3457,3295,3106,2895,2621,2439
"영도구","계","25-29세",6023,5863,5716,5885,5922,5716,5537,5118,4355,3944,3671,3459,3407,3441,3454,3479,3450,3416,3383,3306,3187
"영도구","계","30-34세",5122,5204,5228,5121,5020,4833,4694,4595,4686,4603,4392,4226,3907,3438,3241,3071,2983,2981,2993,3011,3045
"영도구","계","35-39세",5202,4929,4710,4658,4610,4727,4781,4774,4708,4661,4527,4415,4312,4336,4200,3998,3828,3557,3207,3059,2912
"영도구","계","40-44세",6653,6582,6467,6092,5658,5250,4940,4702,4628,4565,4671,4733,4762,4729,4714,4603,4496,4389,4380,4229,4031
"영도구","계","45-49세",7309,6890,6561,6497,6583,6648,6600,6446,6053,5631,5232,4931,4720,4678,4637,4746,4817,4863,4843,4844,4746
"영도구","계","50-54세",8588,8506,8331,8121,7695,7242,6861,6506,6459,6553,6633,6609,6472,6090,5682,5301,5007,4814,4783,4754,4869
"영도구","계","55-59세",8930,8495,8629,8622,8537,8512,8422,8219,7990,7574,7151,6805,6486,6475,6587,6688,6686,6556,6183,5783,5405
"영도구","계","60-64세",11296,11086,10458,9759,9084,8752,8411,8572,8559,8482,8469,8396,8216,7995,7603,7206,6879,6587,6596,6720,6836
"영도구","계","65-69세",10197,10473,10805,10815,11059,10869,10736,10156,9510,8888,8593,8290,8478,8494,8452,8466,8415,8252,8039,7664,7285
"영도구","계","70-74세",8142,8139,8242,8715,9285,9556,9877,10217,10247,10504,10352,10263,9751,9183,8627,8372,8110,8317,8355,8344,8377
"영도구","계","75-79세",6151,6162,6444,6764,7090,7246,7328,7445,7915,8450,8723,9045,9398,9477,9765,9661,9615,9160,8672,8186,7980
"영도구","계","80-84세",4361,4755,4832,4898,4684,4842,4915,5170,5471,5738,5901,6008,6140,6590,7061,7329,7617,7947,8063,8365,8307
"영도구","계","85-89세",1877,1987,2183,2369,2581,2826,3111,3141,3176,3020,3173,3267,3466,3693,3861,4002,4110,4221,4592,4939,5160
"영도구","계","90-94세",521,562,617,708,790,878,950,1047,1147,1253,1376,1518,1523,1538,1453,1562,1635,1746,1876,1950,2047
"영도구","계","95세이상",132,132,149,154,162,184,203,228,259,286,321,346,384,424,464,512,562,567,581,559,618
"부산진구","계","계",347476,354611,359629,361822,362352,361630,359870,357267,354788,352382,350023,347683,345326,342908,340371,337757,334977,331972,328770,325377,321814
"부산진구","계","0 - 4세",8065,8288,8280,8004,7717,7430,7258,7256,7484,7731,7947,8124,8258,8347,8407,8448,8450,8392,8289,8151,7988
"부산진구","계","5 - 9세",10910,10795,10563,10135,9482,9009,8533,8061,7536,7135,6806,6635,6659,6874,7095,7288,7444,7557,7640,7697,7739
"부산진구","계","10 - 14세",11337,11447,11583,11751,11749,11481,11117,10619,9944,9119,8533,8004,7531,7035,6665,6365,6217,6254,6460,6668,6850
"부산진구","계","15 - 19세",13314,12627,12088,11962,12256,12474,12475,12491,12569,12486,12122,11679,11126,10397,9497,8836,8247,7731,7206,6824,6515
"부산진구","계","20-24세",24117,24368,23902,21842,19745,18637,17811,17429,17319,17661,17892,17811,17790,17886,17684,17119,16440,15588,14502,13206,12211
"부산진구","계","25-29세",28228,28522,28812,29223,29017,27753,26321,24671,22571,20806,20092,19767,19648,19522,19924,20141,19999,19915,19937,19607,18885
"부산진구","계","30-34세",24299,26630,28387,29173,29661,29280,28633,27677,27188,26350,24877,23486,22145,20488,19095,18636,18505,18401,18255,18686,18838
"부산진구","계","35-39세",21553,22074,22751,23636,24385,25480,26302,26647,26628,26610,26000,25323,24497,24076,23296,21996,20784,19666,18261,17077,16742
"부산진구","계","40-44세",23838,24765,25009,24404,23614,22823,22144,21963,22141,22352,23023,23591,23888,23887,23916,23393,22809,22086,21724,21004,19842
"부산진구","계","45-49세",24061,23434,22982,23545,24299,25055,25516,25201,24189,23053,21993,21131,20857,20953,21095,21692,22208,22506,22538,22602,22139
