시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
익산시,계,65-69세,17993,19270,20481,21442,22879,23085,23703,23219,22703,21925,22179,21631,22660,22679,22926,22975,23282,22855,22433,21499,20627
익산시,계,70-74세,14101,14105,14671,15454,16375,17217,18533,19699,20652,22070,22290,22913,22475,22009,21291,21547,21048,22074,22120,22408,22497
익산시,계,75-79세,10323,10442,10885,11821,12628,12884,12910,13468,14271,15181,16017,17254,18353,19289,20643,20865,21477,21071,20681,20055,20317
익산시,계,80-84세,8533,8984,8757,8735,8606,8657,8838,9241,10065,10723,10980,11032,11528,12297,13128,13891,14987,15956,16843,18084,18293
익산시,계,85-89세,4826,4952,5253,5485,5537,6147,6509,6354,6336,6217,6342,6537,6833,7477,7930,8156,8210,8607,9279,9957,10581
익산시,계,90-94세,1764,1925,2058,2248,2438,2617,2755,2957,3095,3128,3511,3710,3607,3600,3503,3646,3816,3991,4393,4623,4786
익산시,계,95세이상,364,423,490,547,614,685,780,847,938,1028,1112,1191,1279,1349,1384,1563,1655,1627,1636,1594,1731
정읍시,계,계,103480,102427,101719,100783,99871,98995,98142,97319,96528,95745,94994,94275,93573,92890,92215,91554,90902,90254,89605,88953,88294
정읍시,계,0 - 4세,2163,1966,1845,1746,1657,1614,1573,1567,1590,1619,1642,1656,1664,1667,1666,1664,1654,1635,1610,1579,1543
정읍시,계,5 - 9세,3383,3155,2921,2648,2399,2237,2049,1895,1774,1675,1628,1591,1590,1619,1652,1678,1696,1709,1716,1718,1718
정읍시,계,10 - 14세,4175,4010,3914,3891,3662,3389,3183,2951,2670,2419,2247,2052,1903,1787,1688,1641,1605,1609,1641,1678,1707
정읍시,계,15 - 19세,4144,4377,4333,4144,4164,4095,3950,3875,3860,3632,3386,3191,2957,2683,2441,2270,2075,1934,1822,1722,1679
정읍시,계,20-24세,4764,4133,3963,3868,3800,3815,3953,3817,3684,3747,3701,3610,3562,3538,3350,3176,3019,2826,2607,2420,2270
정읍시,계,25-29세,5079,5053,4973,4694,4353,4018,3723,3600,3481,3334,3286,3343,3200,3144,3227,3181,3133,3113,3096,2956,2851
정읍시,계,30-34세,4288,4399,4471,4503,4594,4581,4467,4300,4122,3921,3692,3471,3363,3203,3026,2967,2995,2863,2851,2923,2882
정읍시,계,35-39세,4571,4343,4233,4225,4193,4223,4259,4304,4333,4409,4379,4284,4156,4024,3870,3667,3466,3351,3168,2977,2913
정읍시,계,40-44세,6153,5960,5698,5382,5021,4659,4430,4317,4312,4288,4337,4399,4469,4512,4592,4562,4472,4351,4226,4091,3893
정읍시,계,45-49세,7467,7108,6782,6553,6421,6430,6238,5994,5685,5329,4973,4741,4618,4610,4591,4652,4733,4817,4872,4958,4925
정읍시,계,50-54세,8669,8774,8614,8431,8094,7696,7364,7014,6808,6717,6753,6591,6384,6088,5734,5373,5131,4999,4987,4972,5048
정읍시,계,55-59세,8793,8643,9021,9033,9109,9132,9228,9037,8828,8471,8065,7732,7386,7206,7155,7227,7096,6913,6612,6243,5867
정읍시,계,60-64세,9740,9837,9679,9466,9082,9134,8986,9366,9398,9488,9535,9649,9471,9268,8905,8500,8173,7829,7671,7657,7756
정읍시,계,65-69세,7645,8284,8734,9037,9779,9906,9995,9866,9655,9286,9341,9196,9584,9636,9750,9816,9935,9762,9560,9193,8786
정읍시,계,70-74세,6836,6643,6593,6861,7116,7419,8104,8569,8904,9636,9768,9877,9759,9556,9213,9272,9137,9525,9593,9721,9806
정읍시,계,75-79세,5807,5635,5859,6177,6388,6269,6098,6127,6428,6706,7027,7673,8114,8457,9160,9288,9406,9303,9121,8821,8885
정읍시,계,80-84세,5331,5474,5276,5069,4837,4817,4727,4930,5204,5369,5297,5183,5243,5551,5818,6120,6680,7070,7403,8031,8144
정읍시,계,85-89세,3202,3247,3291,3383,3375,3638,3788,3666,3545,3386,3427,3400,3557,3765,3873,3854,3798,3878,4170,4396,4649
정읍시,계,90-94세,1067,1137,1243,1357,1487,1541,1594,1649,1721,1735,1902,1995,1920,1864,1775,1844,1854,1946,2066,2114,2130
정읍시,계,95세이상,203,249,276,315,340,382,433,475,526,578,608,641,673,712,729,802,844,821,813,783,842
남원시,계,계,75790,74489,73869,73321,72811,72321,71881,71458,71055,70634,70222,69817,69429,69045,68676,68299,67931,67570,67195,66827,66469
남원시,계,0 - 4세,1804,1591,1471,1359,1278,1235,1229,1230,1239,1255,1268,1279,1283,1289,1290,1289,1284,1272,1254,1232,1204
남원시,계,5 - 9세,2564,2382,2212,2013,1831,1661,1503,1402,1304,1231,1193,1188,1191,1203,1223,1239,1252,1259,1265,1268,1270
남원시,계,10 - 14세,3152,3039,2889,2827,2653,2510,2343,2186,1995,1817,1654,1505,1409,1308,1241,1202,1193,1197,1212,1234,1251
남원시,계,15 - 19세,3142,3334,3290,3164,3153,3037,2975,2866,2847,2703,2583,2414,2253,2058,1878,1713,1568,1468,1366,1298,1261
남원시,계,20-24세,2867,2257,2274,2400,2423,2555,2618,2553,2451,2472,2402,2380,2285,2287,2176,2089,1948,1828,1668,1537,1411
남원시,계,25-29세,3254,3066,2921,2714,2541,2362,2197,2190,2158,2044,2067,2047,1995,1942,1991,1944,1946,1878,1906,1812,1762
남원시,계,30-34세,2870,2840,2841,2857,2903,2876,2803,2697,2603,2508,2375,2243,2207,2103,1964,1962,1933,1889,1857,1911,1875
남원시,계,35-39세,3218,3004,2953,2859,2799,2799,2835,2855,2892,2941,2919,2860,2776,2706,2626,2499,2368,2309,2178,2031,2018
남원시,계,40-44세,4194,4102,4012,3733,3540,3329,3145,3064,2999,2968,2989,3045,3084,3132,3185,3166,3106,3026,2959,2880,2754
남원시,계,45-49세,5451,5105,4671,4613,4437,4397,4349,4267,4003,3812,3597,3401,3310,3247,3229,3260,3335,3392,3447,3503,3482
남원시,계,50-54세,6606,6631,6427,6254,5975,5609,5294,4917,4917,4795,4809,4793,4713,4449,4246,4010,3794,3692,3632,3624,3669
남원시,계,55-59세,6532,6356,6900,6881,6927,6936,6980,6759,6592,6316,5961,5662,5309,5322,5225,5272,5271,5199,4932,4716,4466
남원시,계,60-64세,7357,7528,7229,6934,6708,6770,6642,7192,7170,7240,7267,7324,7123,6967,6691,6342,6057,5721,5745,5668,5747
남원시,계,65-69세,5908,6244,6519,6893,7347,7512,7693,7441,7162,6938,6984,6865,7398,7377,7469,7512,7585,7398,7247,6971,6624
남원시,계,70-74세,5139,5057,5118,5383,5678,5865,6235,6549,6936,7386,7557,7735,7505,7253,7039,7082,6978,7492,7485,7587,7643
남원시,계,75-79세,4235,4202,4366,4673,4874,4778,4726,4827,5108,5415,5626,5993,6307,6695,7136,7310,7483,7271,7049,6870,6925
남원시,계,80-84세,4054,4152,3955,3794,3613,3608,3620,3781,4050,4221,4171,4142,4243,4518,4812,5021,5360,5656,6032,6442,6604
남원시,계,85-89세,2418,2514,2642,2606,2635,2873,2989,2865,2753,2627,2669,2715,2846,3041,3156,3152,3146,3242,3489,3737,3917
남원시,계,90-94세,805,837,923,1101,1215,1285,1356,1430,1421,1448,1598,1666,1595,1534,1465,1527,1582,1661,1771,1827,1850
남원시,계,95세이상,220,248,256,263,281,324,349,387,455,497,533,560,597,614,634,708,742,720,701,679,736
김제시,계,계,77712,79179,78768,78178,77713,77350,77076,76877,76670,76445,76230,75996,75758,75499,75232,74970,74677,74364,74059,73740,73396
김제시,계,0 - 4세,1392,1469,1560,1539,1523,1480,1361,1309,1335,1360,1379,1393,1403,1409,1411,1411,1404,1389,1368,1344,1314
김제시,계,5 - 9세,2264,2065,1858,1669,1493,1410,1443,1459,1396,1363,1320,1223,1198,1231,1255,1274,1287,1298,1307,1312,1314
김제시,계,10 - 14세,2771,2739,2623,2512,2334,2138,1961,1789,1629,1465,1382,1389,1376,1301,1262,1219,1139,1130,1162,1186,1206
김제시,계,15 - 19세,2726,2879,2895,2845,2909,2856,2796,2698,2621,2470,2295,2131,1956,1788,1614,1513,1487,1439,1352,1309,1260
김제시,계,20-24세,3082,2945,2774,2671,2508,2612,2634,2634,2597,2665,2618,2577,2491,2443,2323,2189,2046,1890,1744,1592,1500
김제시,계,25-29세,3595,3830,3708,3442,3309,3029,2838,2739,2645,2471,2523,2472,2446,2403,2465,2424,2408,2349,2336,2244,2146
