시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
구미시,계,40-44세,37180,37705,37440,35793,34246,32245,30537,29542,28923,28085,28354,28694,29085,29230,29465,28727,28130,27241,26785,25994,24759
구미시,계,45-49세,35125,34136,33658,34486,35195,36192,36686,36001,34280,32692,30720,29109,28214,27708,27017,27375,27758,28178,28339,28587,27900
구미시,계,50-54세,37244,37257,36733,35740,34816,34042,33138,32419,33065,33631,34532,34935,34261,32627,31127,29256,27750,26944,26516,25926,26349
구미시,계,55-59세,32338,32661,34380,35014,35792,35974,35939,35253,34258,33323,32500,31585,30888,31483,32004,32875,33239,32588,31041,29623,27844
구미시,계,60-64세,27669,29623,30313,30602,30368,30787,31046,32540,33029,33709,33843,33828,33203,32305,31437,30635,29754,29095,29667,30159,31005
구미시,계,65-69세,16904,18182,20032,22445,24837,26269,27954,28358,28514,28214,28581,28797,30214,30646,31292,31436,31462,30905,30095,29299,28533
구미시,계,70-74세,10422,11289,12094,13283,14941,16074,17220,18886,21045,23173,24420,25921,26230,26357,26068,26423,26630,27978,28380,29005,29161
구미시,계,75-79세,6718,6819,7366,8008,8687,9585,10385,11078,12135,13591,14599,15630,17149,19085,20982,22079,23409,23644,23775,23530,23879
구미시,계,80-84세,5627,6040,6030,5952,5575,5661,5806,6274,6817,7356,8130,8810,9403,10302,11509,12373,13257,14559,16216,17829,18741
구미시,계,85-89세,3239,3332,3589,3661,3781,4040,4386,4395,4344,4054,4155,4314,4680,5087,5450,6040,6545,6991,7676,8559,9229
구미시,계,90-94세,1086,1135,1247,1471,1621,1736,1823,1982,2038,2119,2278,2475,2484,2443,2264,2357,2497,2727,2962,3132,3493
구미시,계,95세이상,245,271,296,325,358,413,446,495,583,641,696,733,802,848,890,964,1047,1060,1050,982,1054
영주시,계,계,101891,101331,100691,100203,99569,98838,97984,97020,96084,95162,94259,93367,92495,91634,90798,89956,89120,88288,87455,86611,85772
영주시,계,0 - 4세,2123,1922,1752,1643,1597,1542,1530,1549,1583,1625,1661,1688,1705,1714,1716,1714,1707,1688,1662,1629,1591
영주시,계,5 - 9세,3341,3148,2878,2609,2340,2147,1934,1805,1705,1661,1605,1596,1613,1649,1691,1727,1755,1772,1781,1785,1784
영주시,계,10 - 14세,4110,4020,3937,3836,3635,3392,3183,2933,2663,2395,2202,1991,1864,1757,1709,1651,1641,1655,1689,1732,1770
영주시,계,15 - 19세,4953,5003,5065,5171,5289,5338,5064,4732,4499,4220,3933,3707,3443,3151,2846,2607,2366,2221,2089,2016,1941
영주시,계,20-24세,5630,5655,5454,5124,4838,4703,4841,4838,4798,4780,4719,4464,4275,4150,3955,3748,3561,3307,3035,2750,2540
영주시,계,25-29세,4401,4451,4487,4545,4446,4271,3995,3857,3601,3395,3301,3392,3325,3287,3302,3289,3150,3095,3059,2948,2826
영주시,계,30-34세,3894,3929,4002,4049,4142,4127,4111,4034,4000,3862,3703,3473,3366,3125,2948,2869,2925,2839,2827,2859,2861
영주시,계,35-39세,4301,4006,3863,3847,3869,3910,3964,4026,4051,4115,4076,4041,3951,3908,3780,3630,3414,3308,3066,2889,2811
영주시,계,40-44세,5924,5722,5443,5076,4733,4400,4116,3984,3974,3993,4034,4100,4171,4200,4264,4221,4177,4083,4036,3910,3759
영주시,계,45-49세,7112,6732,6372,6233,6070,6029,5906,5659,5320,4988,4665,4380,4250,4241,4262,4307,4385,4465,4501,4559,4515
영주시,계,50-54세,8423,8370,8139,7831,7612,7278,6930,6573,6426,6284,6268,6170,5947,5621,5283,4957,4667,4536,4530,4555,4609
