시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
영동군,계,25 - 29세,1939,1836,1720,1706,1623,1495,1385,1331,1208,1164,1190,1195,1192,1222,1217,1245,1208,1215,1172
영동군,계,30 - 34세,1360,1375,1371,1377,1477,1453,1441,1407,1419,1353,1278,1213,1159,1066,1023,1011,1006,1003,1017
영동군,계,35 - 39세,1590,1451,1379,1324,1299,1309,1366,1392,1416,1486,1445,1445,1407,1409,1342,1288,1218,1160,1074
영동군,계,40 - 44세,2059,2022,1950,1817,1720,1606,1497,1453,1421,1416,1431,1491,1513,1542,1598,1560,1563,1519,1512
영동군,계,45 - 49세,2659,2444,2265,2227,2158,2219,2203,2154,2041,1947,1830,1719,1674,1650,1647,1668,1736,1763,1801
영동군,계,50 - 54세,3553,3568,3450,3303,3181,2961,2768,2608,2582,2536,2621,2617,2581,2469,2364,2231,2109,2061,2037
영동군,계,55 - 59세,4150,4034,4247,4195,4156,4102,4139,4026,3893,3772,3555,3375,3218,3202,3190,3297,3310,3281,3160
영동군,계,60 - 64세,5247,5286,5088,5034,4751,4723,4615,4836,4813,4817,4816,4884,4784,4650,4512,4282,4099,3942,3935
영동군,계,65 - 69세,4326,4608,4886,5047,5507,5583,5662,5503,5455,5190,5170,5068,5302,5307,5343,5380,5461,5361,5230
영동군,계,70 - 74세,3401,3488,3523,3789,4044,4286,4593,4901,5099,5561,5644,5732,5592,5550,5301,5286,5200,5439,5463
영동군,계,75 - 79세,2876,2683,2824,2956,3058,3223,3312,3363,3629,3894,4130,4426,4730,4936,5385,5469,5572,5457,5418
영동군,계,80 - 84세,2628,2833,2780,2685,2572,2463,2338,2481,2606,2698,2852,2936,2997,3247,3491,3719,3996,4270,4481
영동군,계,85 - 89세,1572,1652,1754,1817,1830,1926,2087,2046,1974,1885,1826,1770,1893,2002,2070,2197,2262,2330,2545
영동군,계,90 - 94세,489,552,592,688,789,873,920,979,1023,1033,1102,1202,1173,1133,1078,1062,1060,1151,1220
영동군,계,95세 이상,134,150,177,183,188,210,241,265,304,343,380,402,430,457,471,514,561,548,538
증평군,계,계,37353,37739,37991,38139,38219,38213,38207,38197,38185,38169,38143,38106,38068,38027,37978,37917,37842,37757,37650
증평군,계,0 - 4세,1196,1193,1156,1187,1201,1200,1198,1219,1244,1264,1274,1280,1284,1285,1281,1270,1253,1231,1201
증평군,계,5 - 9세,1683,1527,1467,1335,1194,1123,1088,1026,1032,1028,1020,1026,1054,1084,1110,1129,1144,1154,1163
증평군,계,10 - 14세,1782,1794,1742,1691,1649,1575,1433,1372,1239,1113,1048,1002,939,944,931,926,937,967,999
증평군,계,15 - 19세,1447,1571,1629,1627,1690,1685,1683,1623,1588,1553,1487,1360,1311,1187,1076,1013,959,897,895
증평군,계,20 - 24세,2202,1964,1829,1699,1585,1565,1655,1669,1656,1704,1689,1692,1643,1624,1595,1530,1423,1391,1260
증평군,계,25 - 29세,2631,2621,2597,2577,2518,2318,2135,2027,1903,1777,1744,1803,1777,1767,1808,1800,1803,1758,1758
증평군,계,30 - 34세,2168,2355,2429,2545,2549,2637,2531,2498,2449,2387,2225,2083,1990,1858,1733,1704,1740,1703,1703
증평군,계,35 - 39세,2450,2309,2272,2197,2209,2196,2323,2344,2427,2424,2490,2381,2367,2312,2257,2110,1993,1900,1768
증평군,계,40 - 44세,2744,2801,2727,2658,2545,2399,2243,2198,2130,2149,2150,2268,2282,2364,2366,2419,2313,2312,2249
증평군,계,45 - 49세,2832,2792,2726,2734,2759,2812,2839,2750,2674,2551,2411,2268,2228,2173,2196,2201,2311,2327,2410
증평군,계,50 - 54세,3127,3156,3124,3122,3009,2962,2892,2807,2808,2842,2899,2928,2850,2776,2646,2503,2364,2323,2278
증평군,계,55 - 59세,2967,2984,3229,3241,3297,3278,3298,3249,3231,3108,3057,2979,2893,2899,2938,3002,3035,2964,2884
증평군,계,60 - 64세,3121,3221,3115,3119,3075,3124,3127,3353,3353,3406,3401,3422,3370,3351,3235,3180,3096,3012,3020
증평군,계,65 - 69세,2344,2527,2790,2956,3163,3183,3263,3156,3164,3107,3139,3136,3348,3345,3406,3409,3440,3388,3366
증평군,계,70 - 74세,1594,1705,1835,2008,2194,2400,2565,2806,2956,3159,3187,3273,3174,3185,3122,3148,3147,3354,3355
증평군,계,75 - 79세,1217,1244,1243,1296,1418,1529,1619,1725,1888,2062,2257,2407,2629,2763,2959,2994,3074,2985,3000
증평군,계,80 - 84세,1065,1096,1142,1148,1100,1067,1090,1097,1143,1245,1338,1418,1510,1653,1805,1979,2113,2308,2426
증평군,계,85 - 89세,583,629,665,680,709,768,795,823,821,779,773,795,814,851,922,984,1049,1113,1226
증평군,계,90 - 94세,162,207,226,264,291,322,341,361,368,388,420,440,453,445,420,428,448,466,486
증평군,계,95세 이상,38,43,48,55,64,70,89,94,111,123,134,145,152,161,172,188,200,204,203
진천군,계,계,93826,94775,95828,97001,98241,99560,100729,101766,102682,103465,104153,104739,105236,105635,105947,106187,106347,106429,106453
진천군,계,0 - 4세,3274,3144,3023,2963,2962,3000,3065,3170,3291,3393,3479,3548,3595,3632,3647,3632,3595,3542,3469
진천군,계,5 - 9세,4414,4204,4029,3774,3589,3422,3315,3197,3132,3127,3148,3210,3322,3448,3555,3649,3723,3776,3818
진천군,계,10 - 14세,4486,4535,4625,4704,4627,4593,4414,4263,3993,3766,3554,3421,3278,3200,3183,3193,3257,3372,3502
진천군,계,15 - 19세,4162,4226,4255,4448,4656,4738,4825,4911,4971,4883,4808,4575,4399,4101,3846,3613,3463,3302,3218
진천군,계,20 - 24세,4487,4279,4156,3941,3836,3845,4007,4061,4215,4344,4378,4423,4432,4443,4346,4254,4024,3868,3593
진천군,계,25 - 29세,6176,5999,5788,5580,5368,5212,4951,4759,4465,4262,4169,4242,4219,4296,4367,4388,4405,4374,4379
진천군,계,30 - 34세,6778,6853,6956,7047,7152,7102,6997,6818,6639,6444,6210,5851,5593,5241,4958,4800,4853,4806,4845
진천군,계,35 - 39세,7392,7150,7015,7075,7144,7314,7518,7720,7857,7963,7908,7788,7595,7416,7216,6935,6524,6227,5834
진천군,계,40 - 44세,8174,8371,8422,8174,8040,7753,7528,7406,7454,7501,7656,7869,8073,8201,8303,8253,8119,7919,7748
진천군,계,45 - 49세,7506,7556,7663,7909,8146,8495,8703,8735,8454,8261,7902,7636,7488,7512,7542,7700,7923,8126,8249
진천군,계,50 - 54세,7691,7780,7779,7957,7921,8020,8017,8065,8258,8471,8788,8955,8948,8631,8396,7992,7703,7542,7560
진천군,계,55 - 59세,7206,7436,7829,7961,8165,8302,8425,8433,8553,8432,8428,8332,8305,8449,8647,8947,9085,9050,8711
진천군,계,60 - 64세,7030,7343,7484,7604,7457,7570,7759,8133,8277,8484,8624,8742,8725,8779,8593,8524,8367,8290,8408
진천군,계,65 - 69세,5066,5445,5824,6239,6900,7184,7456,7548,7620,7448,7538,7697,8047,8193,8390,8524,8636,8604,8619
진천군,계,70 - 74세,3298,3479,3727,4182,4673,4997,5371,5747,6150,6772,7023,7270,7341,7391,7218,7298,7435,7764,7902
진천군,계,75 - 79세,2421,2521,2678,2740,2839,3110,3276,3515,3942,4396,4699,5048,5405,5784,6358,6584,6808,6860,6903
진천군,계,80 - 84세,2303,2326,2250,2233,2197,2175,2267,2390,2450,2547,2790,2939,3158,3524,3924,4205,4527,4857,5204
진천군,계,85 - 89세,1441,1530,1630,1683,1678,1743,1779,1738,1743,1711,1706,1789,1884,1939,2017,2215,2335,2518,2810
진천군,계,90 - 94세,420,476,561,643,731,810,853,920,945,950,1006,1043,1032,1041,1012,1018,1081,1142,1184
